-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,-32768,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-2048,0
-32768,-32768,-32768,288,-2048,-1492,0
-32768,-32768,-32768,288,-2048,-811,0
-32768,-32768,-32768,288,-2048,-110,0
-32768,-32768,-32768,288,-2048,556,0
-32768,-32768,-32768,288,-2048,920,0
-32768,-32768,-32768,288,-2048,1009,0
-32768,-32768,-32768,288,-2048,889,0
14,-32768,-32768,288,-2048,609,0
43,-32768,-32768,288,-2048,207,0
65,-32768,-32768,288,-2048,-285,0
76,-32768,-32768,288,-2048,-833,0
80,-32768,-32768,288,-2048,-1374,0
88,-32768,-32768,288,-2048,-1637,0
100,-32768,-32768,288,-2048,-1647,0
131,-32768,-32768,288,-2048,-1473,0
176,-32768,-32768,288,-2048,-1158,0
211,-32768,-32768,288,-2048,-733,0
241,-32768,-32768,288,-2048,-223,0
244,-32768,-32768,288,-2048,351,0
226,-32768,-32768,288,-2048,952,0
199,-32768,-32768,288,-2048,1440,0
161,-32768,-32768,288,-2048,1795,0
114,-32768,-32768,288,-2048,1900,0
70,-32768,-32768,288,-2048,1791,0
15,-32768,-32768,288,-2048,1519,0
1,-32768,-32768,288,-2048,1122,0
4,-32768,-32768,288,-2048,632,0
-3,-32768,-32768,288,-2048,72,0
-22,-32768,-32768,288,-2048,-529,0
-51,-32768,-32768,288,-2048,-1151,0
-90,-32768,-32768,288,-2048,-1744,0
-112,-32768,-32768,288,-2048,-2048,0
-98,-32768,-32768,288,-2048,-2048,0
-63,-32768,-32768,288,-2048,-2048,0
-3,-32768,-32768,288,-2048,-2048,0
69,-32768,-32768,288,-2048,-2048,0
136,-32768,-32768,288,-2048,-2048,0
197,-32768,-32768,288,-2048,-2048,0
228,-32768,-32768,288,-2048,-2048,0
249,-32768,-32768,288,0,-2048,0
280,-32768,-32768,288,0,-2048,0
317,-32768,-32768,288,0,-2048,0
364,-32768,-32768,288,0,-2048,0
406,-32768,-32768,288,0,-2048,0
472,-32768,-32768,288,0,-2048,0
597,-32768,-32768,288,0,-2048,0
630,-32768,-32768,288,0,-2048,0
519,-32768,-32768,288,0,-2048,0
527,-32768,-32768,288,0,-2048,0
524,-32768,-32768,288,0,-2048,0
588,-32768,-32768,288,0,-2048,0
644,-32768,-32768,288,0,-2048,0
707,-32768,-32768,288,0,-2048,0
787,-32768,-32768,288,0,-2048,0
821,-32768,-32768,288,0,-2048,0
808,-32768,-32768,288,0,-2048,0
781,-32768,-32768,288,0,-2048,0
726,-32768,-32768,288,0,-2048,0
690,-32768,-32768,288,0,-2048,0
681,-32768,-32768,288,0,-2048,0
720,-32768,-32768,288,0,-2048,0
781,-32768,-32768,288,0,-2048,0
824,-32768,-32768,288,0,-2048,0
841,-32768,-32768,288,0,-2048,0
826,-32768,-32768,288,0,-2048,0
784,-32768,-32768,288,0,-2048,0
742,-32768,-32768,288,0,-2048,0
727,-32768,-32768,288,0,-2048,0
723,-32768,-32768,288,0,-2048,0
735,-32768,-32768,288,0,-2048,0
748,-32768,-32768,288,0,-2048,0
757,-32768,-32768,288,0,-2048,0
765,-32768,-32768,288,0,-2048,0
768,-32768,-32768,288,0,-2048,0
771,-32768,-32768,288,0,-2048,0
-313,92,153,288,0,-2048,0
-341,102,178,288,0,-2048,0
-361,100,180,288,0,-2048,0
-379,106,190,288,0,-2048,0
-400,114,208,288,0,-2048,0
-417,108,210,288,0,-2048,0
-421,110,214,288,0,-2048,0
-418,117,216,288,0,-2048,0
-416,127,224,288,0,-2048,0
-389,143,185,288,0,-2048,0
-280,128,116,288,0,-2048,0
-329,25,175,288,0,-2048,0
