-123,-32768,-32768,288,0,2047
-81,-32768,-32768,288,0,2047
-81,-32768,-32768,288,0,2047
-114,-32768,-32768,288,0,2047
-156,-32768,-32768,288,0,2047
-198,-32768,-32768,288,0,2047
-229,-32768,-32768,288,0,2047
-249,-32768,-32768,288,0,2015
-260,-32768,-32768,288,0,1906
-254,-32768,-32768,288,0,1786
-244,-32768,-32768,288,0,1661
-224,-32768,-32768,288,0,1553
-202,-32768,-32768,288,0,1462
-176,-32768,-32768,288,0,1396
-149,-32768,-32768,288,0,1351
-125,-32768,-32768,288,0,1326
-110,-32768,-32768,288,0,1319
-107,-32768,-32768,288,0,1343
-113,-32768,-32768,288,0,1393
-116,-32768,-32768,288,0,1463
-105,6,62,288,0,1545
-79,-1,39,288,0,1623
-79,-9,46,288,0,1694
-78,-8,43,288,0,1754
-70,20,33,288,0,1803
4,39,-26,288,0,1835
-35,-65,14,288,0,1854
-171,-32,96,288,0,1862
-198,35,113,288,0,1864
-230,53,121,288,0,1883
-260,71,141,288,0,1917
-288,83,155,288,0,1959
-313,90,166,288,0,2011
-325,93,164,288,0,2047
-332,97,168,288,0,2047
-321,102,175,288,0,2047
-310,94,155,288,0,2047
-303,96,150,288,0,2047
-297,99,144,288,0,2047
-274,95,129,288,0,2047
-252,104,126,288,0,2047
-225,94,96,288,0,2047
-207,84,76,288,0,2047
-194,80,69,288,0,2047
-194,78,78,288,0,2047
-197,83,90,288,0,2047
-225,64,116,288,0,2047
-223,48,107,288,0,2047
-218,46,107,288,0,2047
-210,45,109,288,0,2047
-207,47,112,288,0,2047
-202,54,116,288,0,2047
-202,45,99,288,0,2047
-211,50,106,288,0,2047
-231,54,112,288,0,2047
-256,66,133,288,0,2047
-277,79,144,288,0,2047
-292,85,145,288,0,2047
-308,91,160,288,0,2047
-324,83,153,288,0,2047
-343,89,170,288,0,2047
-359,89,179,288,0,2047
-357,84,181,288,0,2047
-357,78,173,288,0,1966
-390,94,198,288,0,1796
-417,103,207,288,0,1634
-373,105,183,288,0,1481
-265,123,104,288,0,1329
-195,52,77,288,0,1177
-333,3,184,288,0,1036
-324,53,162,288,0,905
-301,69,150,288,0,786
-280,68,139,288,0,675
-272,65,138,288,0,551
-257,62,123,288,0,414
-248,60,118,288,0,276
-246,56,118,288,0,134
-242,57,115,288,0,-35
-242,60,114,288,0,-230
-250,64,115,288,0,-443
-264,71,120,288,0,-665
-270,83,123,288,0,-868
-271,84,118,288,0,-1058
-270,85,115,288,0,-1262
-268,82,106,288,0,-1478
-258,81,100,288,0,-1681
-256,87,111,288,0,-1876
-272,87,123,288,0,-2048
-290,85,141,288,0,-2048
-297,78,151,288,0,-2048
-292,74,149,288,0,-2048
-280,67,141,288,0,-2048
-268,67,144,288,0,-2048
-263,59,136,288,0,-2048
-249,60,132,288,0,-2048
-241,58,121,288,0,-2048
-239,58,122,288,0,-2048
-245,64,129,288,0,-2048
-262,75,143,288,0,-2048
-284,82,145,288,0,-2048
31,18,-10,288,0,985
22,29,8,288,0,1047
18,32,19,288,0,1100
16,43,38,288,0,1134
17,67,67,288,0,1151
19,66,65,288,0,1143
29,80,69,288,0,1108
81,123,47,288,0,1022
186,93,-5,288,0,891
81,6,76,288,0,718
28,58,98,288,0,516
26,80,98,288,0,323
22,69,84,288,0,137
21,55,75,288,0,-57
24,51,72,288,0,-255
21,43,68,288,0,-433
18,36,69,288,0,-594
28,25,55,288,0,-757
52,22,39,288,0,-924
75,24,29,288,0,-1092
59,39,43,288,0,-1257
44,48,47,288,0,-1402
51,44,29,288,0,-1531
71,42,14,288,0,-1664
84,37,-5,288,0,-1798
90,28,-16,288,0,-1916
91,10,-21,288,0,-2021
97,-8,-33,288,0,-2048
88,-15,-20,288,0,-2048
84,-27,-18,288,0,-2048
87,-36,-16,288,0,-2048
92,-49,-37,288,0,-2048
85,-43,-29,288,0,-2048
78,-37,-28,288,0,-2048
71,-43,-40,288,0,-2048
60,-40,-37,288,0,-2048
49,-36,-32,288,0,-2048
61,-32,-40,288,0,-2048
77,-32,-50,288,0,-2048
92,-32,-60,288,0,-2048
108,-35,-67,288,0,-2048
99,-54,-80,288,0,-2048
104,-68,-87,288,0,-2048
126,-95,-108,288,0,-2048
104,-104,-95,288,0,-2048
85,-110,-94,288,0,-2048
86,-115,-80,288,0,-2048
81,-106,-62,288,0,-2048
69,-84,-56,288,0,-2048
134,-55,-113,288,0,-2048
245,-119,-180,288,0,-2048
138,-195,-100,288,0,-2048
96,-149,-93,288,0,-2048
114,-128,-106,288,0,-2048
119,-118,-100,288,0,-2048
114,-128,-120,288,0,-2048
100,-121,-119,288,0,-2048
87,-110,-109,288,0,-2048
80,-99,-100,288,0,-2048
66,-84,-82,288,0,-2048
50,-77,-72,288,0,-2048
41,-71,-68,288,0,-2048
45,-54,-53,288,0,-2048
45,-65,-73,288,0,-2048
60,-58,-86,288,0,-2048
74,-53,-95,288,0,-2048
95,-44,-102,288,0,-2048
108,-37,-103,288,0,-2048
105,-33,-90,288,0,-2048
93,-13,-58,288,0,-2048
109,-6,-44,288,0,-2048
95,3,-18,288,0,-2048
79,17,8,288,0,-2048
65,11,-2,288,0,-2048
71,29,5,288,0,-2048
62,11,-6,288,0,-2048
53,13,2,288,0,-2048
46,12,3,288,0,-2048
42,12,7,288,0,-2048
37,10,8,288,0,-2048
30,11,4,288,0,-2048
24,25,20,288,0,-2048
36,-9,-30,288,0,-2048
39,-14,-28,288,0,-2048
46,-12,-30,288,0,-2048
50,-18,-37,288,0,-2048
